"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 10,2016,19,116,6,4,0,9,1,0,0,0
HHS Regions,Region 1,2016,20,18,3,4,0,3,0,1,0,0
HHS Regions,Region 2,2016,20,52,3,4,0,4,2,14,0,0
HHS Regions,Region 3,2016,20,100,3,0,0,5,5,7,0,0
HHS Regions,Region 4,2016,20,118,3,32,2,7,1,0,0,0
HHS Regions,Region 5,2016,20,138,6,1,1,1,2,8,0,0
HHS Regions,Region 6,2016,20,71,2,11,0,7,2,2,0,0
HHS Regions,Region 7,2016,20,11,1,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,20,30,2,2,0,0,1,8,0,0
HHS Regions,Region 9,2016,20,192,10,22,1,11,1,10,0,0
HHS Regions,Region 10,2016,20,86,2,1,0,6,0,0,0,0
HHS Regions,Region 1,2016,21,15,2,1,0,1,0,0,0,0
HHS Regions,Region 2,2016,21,47,0,5,0,4,6,9,0,0
HHS Regions,Region 3,2016,21,62,0,1,0,2,3,3,0,0
HHS Regions,Region 4,2016,21,70,0,17,1,13,2,0,0,0
HHS Regions,Region 5,2016,21,110,1,2,1,0,4,2,0,0
HHS Regions,Region 6,2016,21,58,0,5,0,7,1,1,0,0
HHS Regions,Region 7,2016,21,4,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,21,34,3,4,0,0,2,5,0,0
HHS Regions,Region 9,2016,21,157,7,9,0,1,4,12,0,0
HHS Regions,Region 10,2016,21,82,3,0,0,2,0,0,0,0
HHS Regions,Region 1,2016,22,4,1,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,22,36,1,3,0,4,5,10,0,0
HHS Regions,Region 3,2016,22,66,0,1,0,3,3,7,0,0
HHS Regions,Region 4,2016,22,67,1,2,1,11,0,2,0,0
HHS Regions,Region 5,2016,22,68,0,1,0,0,2,0,0,0
HHS Regions,Region 6,2016,22,33,1,0,0,2,0,2,0,0
HHS Regions,Region 7,2016,22,4,0,1,0,1,0,0,0,0
HHS Regions,Region 8,2016,22,9,0,0,0,0,0,1,0,0
HHS Regions,Region 9,2016,22,147,0,5,0,1,3,13,0,0
HHS Regions,Region 10,2016,22,48,0,0,0,2,1,0,0,0
HHS Regions,Region 1,2016,23,2,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,23,35,0,3,0,0,1,11,0,0
HHS Regions,Region 3,2016,23,30,0,0,0,0,1,0,0,0
HHS Regions,Region 4,2016,23,57,0,1,0,8,0,1,0,0
HHS Regions,Region 5,2016,23,81,0,0,1,0,2,0,0,0
HHS Regions,Region 6,2016,23,32,0,1,0,4,0,0,0,0
HHS Regions,Region 7,2016,23,4,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,23,15,0,0,0,0,1,1,0,0
HHS Regions,Region 9,2016,23,149,5,8,0,1,1,4,0,0
HHS Regions,Region 10,2016,23,59,0,2,0,1,0,0,0,0
HHS Regions,Region 1,2016,24,0,0,0,0,0,0,0,0,0
